Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,Degree of urbanisation,Education level,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2018,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,,Lower secondary education,Skill: Mathematics,Percent,,76.4
2019,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,,Lower secondary education,Skill: Mathematics,Percent,,76.1
2016,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Male,,Lower secondary education,Skill: Mathematics,Percent,,78.3
2017,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Male,,Lower secondary education,Skill: Mathematics,Percent,,78.7
2018,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Male,,Lower secondary education,Skill: Mathematics,Percent,,78.0
2019,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Male,,Lower secondary education,Skill: Mathematics,Percent,,77.2
2016,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Female,,Lower secondary education,Skill: Mathematics,Percent,,74.3
2017,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Female,,Lower secondary education,Skill: Mathematics,Percent,,74.9
2018,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Female,,Lower secondary education,Skill: Mathematics,Percent,,74.7
2019,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Female,,Lower secondary education,Skill: Mathematics,Percent,,74.9
2016,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,,Lower secondary education,English,Percent,,75.6
2017,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,,Lower secondary education,English,Percent,,76.8
2018,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,,Lower secondary education,English,Percent,,75.8
2019,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,,Lower secondary education,English,Percent,,76.2
2016,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Male,,Lower secondary education,English,Percent,,75.2
2017,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Male,,Lower secondary education,English,Percent,,76.2
2018,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Male,,Lower secondary education,English,Percent,,75.2
2019,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Male,,Lower secondary education,English,Percent,,75.0
2016,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Female,,Lower secondary education,English,Percent,,76.0
2017,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Female,,Lower secondary education,English,Percent,,77.4
2018,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Female,,Lower secondary education,English,Percent,,76.4
2019,Normal value,Units,Proportion of pupils in JHS that passed Mathematics and English (Percent),,Female,,Lower secondary education,English,Percent,,77.5
