Year,SERIES,REF_AREA,SEX,URBANISATION,GeoCode,Value
2018,SP_LGL_LNDSEC,8,,,8,42.7
2018,SP_LGL_LNDSEC,8,M,,8,39.0
2018,SP_LGL_LNDSEC,8,F,,8,51.2
2018,SP_LGL_LNDSEC,8,,U,8,48.6
2018,SP_LGL_LNDSEC,8,M,U,8,44.5
2018,SP_LGL_LNDSEC,8,F,U,8,55.6
2018,SP_LGL_LNDSEC,8,,R,8,39.0
2018,SP_LGL_LNDSEC,8,M,R,8,36.0
2018,SP_LGL_LNDSEC,8,F,R,8,47.4
2018,SP_LGL_LNDSEC,9,,,9,72.7
2018,SP_LGL_LNDSEC,9,M,,9,68.5
2018,SP_LGL_LNDSEC,9,F,,9,80.7
2018,SP_LGL_LNDSEC,9,,U,9,71.4
2018,SP_LGL_LNDSEC,9,M,U,9,68.5
2018,SP_LGL_LNDSEC,9,F,U,9,76.1
2018,SP_LGL_LNDSEC,9,,R,9,73.7
2018,SP_LGL_LNDSEC,9,M,R,9,68.6
2018,SP_LGL_LNDSEC,9,F,R,9,84.7
2018,SP_LGL_LNDSEC,10,,,10,67.0
2018,SP_LGL_LNDSEC,10,M,,10,64.5
2018,SP_LGL_LNDSEC,10,F,,10,75.1
2018,SP_LGL_LNDSEC,10,,U,10,62.8
2018,SP_LGL_LNDSEC,10,M,U,10,60.3
2018,SP_LGL_LNDSEC,10,F,U,10,70.1
2018,SP_LGL_LNDSEC,10,,R,10,69.2
2018,SP_LGL_LNDSEC,10,M,R,10,66.6
2018,SP_LGL_LNDSEC,10,F,R,10,77.9
2018,SP_LGL_LNDSEC,11,,,11,60.3
2018,SP_LGL_LNDSEC,11,M,,11,61.1
2018,SP_LGL_LNDSEC,11,F,,11,57.7
2018,SP_LGL_LNDSEC,11,,U,11,55.2
2018,SP_LGL_LNDSEC,11,M,U,11,56.6
2018,SP_LGL_LNDSEC,11,F,U,11,49.7
2018,SP_LGL_LNDSEC,11,,R,11,61.7
2018,SP_LGL_LNDSEC,11,M,R,11,62.5
2018,SP_LGL_LNDSEC,11,F,R,11,59.6
2018,SP_LGL_LNDSEC,12,,,12,90.3
2018,SP_LGL_LNDSEC,12,M,,12,91.9
2018,SP_LGL_LNDSEC,12,F,,12,82.2
2018,SP_LGL_LNDSEC,12,,U,12,83.0
2018,SP_LGL_LNDSEC,12,M,U,12,84.4
2018,SP_LGL_LNDSEC,12,F,U,12,69.9
2018,SP_LGL_LNDSEC,12,,R,12,92.0
2018,SP_LGL_LNDSEC,12,M,R,12,93.9
2018,SP_LGL_LNDSEC,12,F,R,12,83.7
2018,SP_LGL_LNDSEC,13,,,13,97.7
2018,SP_LGL_LNDSEC,13,M,,13,98.0
2018,SP_LGL_LNDSEC,13,F,,13,96.0
2018,SP_LGL_LNDSEC,13,,U,13,94.5
2018,SP_LGL_LNDSEC,13,M,U,13,95.0
2018,SP_LGL_LNDSEC,13,F,U,13,90.8
2018,SP_LGL_LNDSEC,13,,R,13,98.2
2018,SP_LGL_LNDSEC,13,M,R,13,98.6
2018,SP_LGL_LNDSEC,13,F,R,13,96.6
2018,SP_LGL_LNDSEC,14,,,14,89.8
2018,SP_LGL_LNDSEC,14,M,,14,91.8
2018,SP_LGL_LNDSEC,14,F,,14,76.1
2018,SP_LGL_LNDSEC,14,,U,14,80.4
2018,SP_LGL_LNDSEC,14,M,U,14,81.1
2018,SP_LGL_LNDSEC,14,F,U,14,75.1
2018,SP_LGL_LNDSEC,14,,R,14,92.1
2018,SP_LGL_LNDSEC,14,M,R,14,94.5
2018,SP_LGL_LNDSEC,14,F,R,14,76.3
2018,SP_LGL_LNDSEC,15,,,15,91.5
2018,SP_LGL_LNDSEC,15,M,,15,93.8
2018,SP_LGL_LNDSEC,15,F,,15,86.4
2018,SP_LGL_LNDSEC,15,,U,15,83.9
2018,SP_LGL_LNDSEC,15,M,U,15,84.3
2018,SP_LGL_LNDSEC,15,F,U,15,82.8
2018,SP_LGL_LNDSEC,15,,R,15,92.6
2018,SP_LGL_LNDSEC,15,M,R,15,95.4
2018,SP_LGL_LNDSEC,15,F,R,15,86.7
2018,SP_LGL_LNDSEC,16,,,16,93.0
2018,SP_LGL_LNDSEC,16,M,,16,93.4
2018,SP_LGL_LNDSEC,16,F,,16,91.1
2018,SP_LGL_LNDSEC,16,,U,16,77.3
2018,SP_LGL_LNDSEC,16,M,U,16,77.8
2018,SP_LGL_LNDSEC,16,F,U,16,75.0
2018,SP_LGL_LNDSEC,16,,R,16,94.7
2018,SP_LGL_LNDSEC,16,M,R,16,95.1
2018,SP_LGL_LNDSEC,16,F,R,16,92.9
